Code,Name
U+1F6B1,non potable water
U+1F6B7,no pedestrians
U+1F4F5,no mobile phones
U+1F51E,no one under eighteen
U+2622,radioactive
U+2623,biohazard
U+2B06,up arrow
U+2197,up right arrow
U+27A1,right arrow
U+2198,down right arrow
U+2B07,down arrow
U+2199,down left arrow
U+2B05,left arrow
U+2196,up left arrow
U+2195,up down arrow
U+2194,left right arrow
U+21A9,right arrow curving left
U+21AA,left arrow curving right
U+2934,right arrow curving up
U+2935,right arrow curving down
U+1F503,clockwise vertical arrows
U+1F504,counterclockwise arrows button
U+1F519,BACK arrow
U+1F51A,END arrow
U+1F51B,ON  arrow
U+1F51C,SOON arrow
U+1F51D,TOP arrow
U+1F6D0,place of worship
U+269B,atom symbol
U+1F549,om
U+2721,star of David
U+2638,wheel of dharma
U+262F,yin yang
U+271D,latin cross
U+2626,orthodox cross
U+262A,star and crescent
U+262E,peace symbol
U+1F54E,menorah
U+1F52F,dotted six pointed star
U+2648,Aries
U+2649,Taurus
U+264A,Gemini
U+264B,Cancer
U+264C,Leo
U+264D,Virgo
U+264E,Libra
U+264F,Scorpio
U+2650,Sagittarius
U+2651,Capricorn
U+2652,Aquarius
U+2653,Pisces
U+26CE,Ophiuchus
U+1F500,shuffle tracks button
U+1F501,repeat button
U+1F502,repeat single button
U+25B6,play button
U+23E9,fast forward button
U+23ED,next track button
U+23EF,play or pause button
U+25C0,reverse button
U+23EA,fast reverse button
U+23EE,last track button
U+1F53C,upwards button
U+23EB,fast up button
U+1F53D,downwards button
U+23EC,fast down button
U+23F8,pause button
U+23F9,stop button
U+23FA,record button
U+23CF,eject button
U+1F3A6,cinema
U+1F505,dim button
U+1F506,bright button
U+1F4F6,antenna bars
U+1F4F3,vibration mode
U+1F4F4,mobile phone off
U+26A7,  transgender flag
U+2716,multiply
U+2795,plus
U+2796,minus
U+2797,divide
U+267E,infinity
U+203C,double exclamation mark
U+2049,exclamation question mark
U+2753,question mark
U+2754,white question mark
U+2755,white exclamation mark
U+2757,exclamation mark
U+3030,wavy dash
U+1F4B1,currency exchange
U+1F4B2,heavy dollar sign
U+267B,recycling symbol
U+269C,fleur de lis
U+1F531,trident emblem
U+1F4DB,name badge
U+1F530,Japanese symbol for beginner
U+2B55,hollow red circle
U+2705,check mark button
U+2611,check box with check
U+2714,check mark
U+274C,cross mark
U+274E,cross mark button
U+27B0,curly loop
U+27BF,double curly loop
U+303D,part alternation mark
U+2733,eight spoked asterisk
U+2734,eight pointed star
U+2747,sparkle
U+00A9,copyright
U+00AE,registered
U+2122,trade mark
U+0023,keycap   
U+20E3,keycap  9
U+002A,keycap   
U+0030,keycap  0
U+0031,keycap  1
U+0032,keycap  2
U+0033,keycap  3
U+0034,keycap  4
U+0035,keycap  5
U+0036,keycap  6
U+0037,keycap  7
U+0038,keycap  8
U+0039,keycap  9
U+1F51F,keycap  10
U+1F520,input latin uppercase
U+1F521,input latin lowercase
U+1F522,input numbers
U+1F523,input symbols
U+1F524,input latin letters
U+1F170,A button  blood type 
U+1F18E,AB button  blood type 
U+1F171,B button  blood type 
U+1F191,CL button
U+1F192,COOL button
U+1F193,FREE button
U+2139,information
U+1F194,ID button
U+24C2,circled M
U+1F195,NEW button
U+1F196,NG button
U+1F17E,O button  blood type 
U+1F197,OK button
U+1F17F,P button
U+1F198,SOS button
U+1F199,UP  button
U+1F19A,VS button
U+1F201,Japanese  here  button
U+1F202,Japanese  service charge  button
U+1F237,Japanese  monthly amount  button
U+1F236,Japanese  not free of charge  button
U+1F22F,Japanese  reserved  button
U+1F250,Japanese  bargain  button
U+1F239,Japanese  discount  button
U+1F21A,Japanese  free of charge  button
U+1F232,Japanese  prohibited  button
U+1F251,Japanese  acceptable  button
U+1F238,Japanese  application  button
U+1F234,Japanese  passing grade  button
U+1F233,Japanese  vacancy  button
U+3297,Japanese  congratulations  button
U+3299,Japanese  secret  button
U+1F23A,Japanese  open for business  button
U+1F235,Japanese  no vacancy  button
U+1F534,red circle
U+1F7E0,orange circle
U+1F7E1,yellow circle
U+1F7E2,green circle
U+1F535,blue circle
U+1F7E3,purple circle
U+1F7E4,brown circle
U+26AB,black circle
U+26AA,white circle
U+1F7E5,red square
U+1F7E7,orange square
U+1F7E8,yellow square
U+1F7E9,green square
U+1F7E6,blue square
U+1F7EA,purple square
U+1F7EB,brown square
U+2B1C,white large square
U+25FC,black medium square
U+25FB,white medium square
U+25FE,black medium small square
U+25FD,white medium small square
U+25AA,black small square
U+25AB,white small square
U+1F536,large orange diamond
U+1F537,large blue diamond
U+1F538,small orange diamond
U+1F539,small blue diamond
U+1F53A,red triangle pointed up
U+1F53B,red triangle pointed down
U+1F4A0,diamond with a dot
U+1F518,radio button
U+1F533,white square button
U+1F532,black square button
U+1F3C1,chequered flag
U+1F6A9,triangular flag
U+1F38C,crossed flags
U+1F3F4,flag  Wales
U+1F3F3,  transgender flag
U+1F1E6,flag  South Africa
U+1F1E8,flag  St  Vincent   Grenadines
U+1F1E9,flag  Chad
U+1F1EA,flag  Yemen
U+1F1EB,flag  Wallis   Futuna
U+1F1EC,flag  British Virgin Islands
U+1F1EE,flag  U S  Virgin Islands
U+1F1F1,flag  Timor Leste
U+1F1F2,flag  Zambia
U+1F1F4,flag  Tonga
U+1F1F6,flag  Qatar
U+1F1F7,flag  Turkey
U+1F1F8,flag  Samoa
U+1F1F9,flag  Mayotte
U+1F1FA,flag  Vanuatu
U+1F1FC,flag  Zimbabwe
U+1F1FD,flag  Kosovo
U+1F1FF,flag  Zimbabwe
U+1F1E7,flag  Solomon Islands
U+1F1ED,flag  Thailand
U+1F1EF,flag  Tajikistan
U+1F1F3,flag  Vietnam
U+1F1FB,flag  Vanuatu
U+1F1FE,flag  Mayotte
U+1F1F0,flag  Kosovo
U+1F1F5,flag  Paraguay
U+E0067,flag  Wales
U+E0062,flag  Wales
U+E0065,flag  England
U+E006E,flag  England
U+E007F,flag  Wales
U+E0073,flag  Wales
U+E0063,flag  Scotland
U+E0074,flag  Scotland
U+E0077,flag  Wales
U+E006C,flag  Wales
