Code,Name
U+1F478,princess
U+1F473,woman wearing turban
U+1F472,person with skullcap
U+1F9D5,woman with headscarf
U+1F935,  woman in tuxedo
U+1F470,  woman with veil
U+1F930,pregnant woman
U+1F931,breast feeding
U+1F37C,baby bottle
U+1F47C,baby angel
U+1F385,Santa Claus
U+1F936,Mrs  Claus
U+1F384,Christmas tree
U+1F9B8,woman superhero
U+1F9B9,woman supervillain
U+1F9D9,woman mage
U+1F9DA,woman fairy
U+1F9DB,woman vampire
U+1F9DC,mermaid
U+1F9DD,woman elf
U+1F9DE,woman genie
U+1F9DF,woman zombie
U+1F486,woman getting massage
U+1F487,woman getting haircut
U+1F6B6,woman walking
U+1F9CD,woman standing
U+1F9CE,woman kneeling
U+1F9AF,white cane
U+1F9BC,motorized wheelchair
U+1F9BD,manual wheelchair
U+1F3C3,woman running
U+1F483,woman dancing
U+1F57A,man dancing
U+1F574,person in suit levitating
U+1F46F,women with bunny ears
U+1F9D6,woman in steamy room
U+1F9D7,woman climbing
U+1F93A,person fencing
U+1F3C7,horse racing
U+26F7,skier
U+1F3C2,snowboarder
U+1F3CC,woman golfing
U+1F3C4,woman surfing
U+1F6A3,woman rowing boat
U+1F3CA,woman swimming
U+26F9,woman bouncing ball
U+1F3CB,woman lifting weights
U+1F6B4,woman biking
U+1F6B5,woman mountain biking
U+1F938,woman cartwheeling
U+1F93C,women wrestling
U+1F93D,woman playing water polo
U+1F93E,woman playing handball
U+1F939,woman juggling
U+1F9D8,woman in lotus position
U+1F6C0,person taking bath
U+1F6CC,person in bed
U+1F46D,women holding hands
U+1F46B,woman and man holding hands
U+1F46C,men holding hands
U+1F48F,kiss
U+1F491,couple with heart
U+1F46A,family
U+1F5E3,speaking head
U+1F464,bust in silhouette
U+1F465,busts in silhouette
U+1FAC2,  people hugging
U+1F463,footprints
U+1F435,monkey face
U+1F412,monkey
U+1F98D,gorilla
U+1F9A7,orangutan
U+1F436,dog face
U+1F415,service dog
U+1F9AE,guide dog
U+1F9BA,safety vest
U+1F429,poodle
U+1F43A,wolf
U+1F98A,fox
U+1F99D,raccoon
U+1F431,cat face
U+1F408,  black cat
U+2B1B,black large square
U+1F981,lion
U+1F42F,tiger face
U+1F405,tiger
U+1F406,leopard
U+1F434,horse face
U+1F40E,horse
U+1F984,unicorn
U+1F993,zebra
U+1F98C,deer
U+1F9AC,  bison
U+1F42E,cow face
U+1F402,ox
U+1F403,water buffalo
U+1F404,cow
U+1F437,pig face
U+1F416,pig
U+1F417,boar
U+1F43D,pig nose
U+1F40F,ram
U+1F411,ewe
U+1F410,goat
U+1F42A,camel
U+1F42B,two hump camel
U+1F999,llama
U+1F992,giraffe
U+1F418,elephant
U+1F9A3,  mammoth
U+1F98F,rhinoceros
U+1F99B,hippopotamus
U+1F42D,mouse face
U+1F401,mouse
U+1F400,rat
U+1F439,hamster
U+1F430,rabbit face
U+1F407,rabbit
U+1F43F,chipmunk
U+1F9AB,  beaver
U+1F994,hedgehog
U+1F987,bat
U+1F43B,  polar bear
U+2744,snowflake
U+1F428,koala
U+1F43C,panda
U+1F9A5,sloth
U+1F9A6,otter
U+1F9A8,skunk
U+1F998,kangaroo
U+1F9A1,badger
U+1F43E,paw prints
U+1F983,turkey
U+1F414,chicken
U+1F413,rooster
U+1F423,hatching chick
U+1F424,baby chick
U+1F425,front facing baby chick
U+1F426,bird
U+1F427,penguin
U+1F54A,dove
U+1F985,eagle
U+1F986,duck
U+1F9A2,swan
U+1F989,owl
